     	!=    	(    	)    	*    	+    	,    	-    	;    	<    	<=    	=    	==    	>    	>=    	[    	]    	and   	call   	digit  	do    	else   	false  	id    	if    integer 	not   	num   	or    	proc   	real   record  	then   	true   	while  	#    	B    	C    	D    	E    	Elist  	L    	P    	P'    	S    	S1    	S2    	T    	X    	relop  
0    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s434   	      	      	      	      	s416   	s463   	s402   	      	      	      	s4    	s403   	s342   	      	      	s430   	      	      	      	2    	      	      	420   	1    	      	414   	      	      	411   	336   	      	
101   	      	s29   	      	      	      	      	s27   	      	      	      	      	      	      	      	      	      	      	      	s45   	      	      	      	s32   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	102   	      	46    	      	      	      	      	      	      	      	      	
102   	      	      	s103   	s25   	s23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
103   	      	      	r18   	r18   	r18   	r18   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
104   	      	      	r19   	r19   	r19   	r19   	      	      	      	      	      	      	      	      	s105   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
105   	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	106   	      	55    	      	      	      	      	      	      	      	      	
106   	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s107   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
107   	      	      	r22   	r22   	r22   	r22   	      	      	      	      	      	      	      	      	r22   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
108   	      	      	r20   	r20   	r20   	r20   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
109   	      	      	r21   	r21   	r21   	r21   	      	      	      	      	      	      	      	      	s110   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
110   	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	111   	      	55    	      	      	      	      	      	      	      	      	
